epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1384.94,1.36931,0.74015,1.13414,0.92841,1,0.99429,0.6553,1.43072,0.695,1.03725,0.000222875,0.000222875,0.000222875
85,1401.27,1.57705,0.76493,1.08853,0.92841,1,0.99429,0.6553,1.43072,0.695,1.03725,0.0002105,0.0002105,0.0002105
86,1416.93,1.389,0.69713,0.97757,0.9621,0.99098,0.99493,0.63731,1.41324,0.68122,1.03397,0.000198125,0.000198125,0.000198125
87,1432.33,1.34258,0.66409,0.98789,0.9621,0.99098,0.99493,0.63731,1.41324,0.68122,1.03397,0.00018575,0.00018575,0.00018575
88,1448.5,1.25291,0.65673,0.91011,0.94372,0.98436,0.995,0.66555,1.39647,0.66308,1.03314,0.000173375,0.000173375,0.000173375
89,1463.94,1.33595,0.64161,1.01602,0.94372,0.98436,0.995,0.66555,1.39647,0.66308,1.03314,0.000161,0.000161,0.000161
90,1479.43,1.24791,0.67836,0.96632,0.92474,0.98464,0.995,0.6735,1.39217,0.64907,1.0334,0.000148625,0.000148625,0.000148625
91,1495.04,1.34883,0.73041,1.04814,0.92474,0.98464,0.995,0.6735,1.39217,0.64907,1.0334,0.00013625,0.00013625,0.00013625
92,1510.7,1.27719,0.69249,0.99356,0.9265,0.98441,0.995,0.67513,1.39018,0.64493,1.03442,0.000123875,0.000123875,0.000123875
93,1526.69,1.41545,0.69141,1.22037,0.9265,0.98441,0.995,0.67513,1.39018,0.64493,1.03442,0.0001115,0.0001115,0.0001115
94,1542.41,1.48361,0.85304,0.96776,0.92725,0.98343,0.995,0.67516,1.38536,0.64348,1.03473,9.9125e-05,9.9125e-05,9.9125e-05
95,1557.77,1.41654,0.8331,0.98974,0.92725,0.98343,0.995,0.67516,1.38536,0.64348,1.03473,8.675e-05,8.675e-05,8.675e-05
96,1573.58,1.67649,0.71948,1.08413,0.9244,0.98188,0.995,0.67536,1.38727,0.64405,1.03465,7.4375e-05,7.4375e-05,7.4375e-05
97,1589.1,1.22689,0.69869,0.90692,0.9244,0.98188,0.995,0.67536,1.38727,0.64405,1.03465,6.2e-05,6.2e-05,6.2e-05
98,1604.48,0.66823,7.40649,0.48351,0.92068,0.98279,0.995,0.67529,1.38816,0.64944,1.0352,4.9625e-05,4.9625e-05,4.9625e-05
99,1620.16,1.23437,0.66707,0.94763,0.92068,0.98279,0.995,0.67529,1.38816,0.64944,1.0352,3.725e-05,3.725e-05,3.725e-05
100,1635.7,1.4769,3.78587,1.16653,0.9195,0.98256,0.995,0.67415,1.38874,0.65218,1.03516,2.4875e-05,2.4875e-05,2.4875e-05
